allch_pt_fdt_means1	allch_pt_fdt_means2	allch_pt_fdt_means3	allch_pt_fdt_means4	allch_pt_fdt_means5	allch_pt_fdt_means6	allch_pt_fdt_means7	allch_pt_fdt_means8	allch_pt_fdt_means9	allch_pt_fdt_means10	allch_pt_fdt_means11	allch_pt_fdt_means12	allch_pt_fdt_means13	allch_pt_fdt_means14	allch_pt_fdt_means15	allch_pt_fdt_means16	allch_pt_fdt_means17	allch_pt_fdt_means18	allch_pt_fdt_means19	allch_pt_fdt_means20	allch_pt_fdt_means21	allch_pt_fdt_means22	allch_pt_fdt_means23	allch_pt_fdt_means24	allch_pt_fdt_means25	allch_pt_fdt_means26	allch_pt_fdt_means27	allch_pt_fdt_means28	allch_pt_fdt_means29	allch_pt_fdt_means30	allch_pt_fdt_means31	allch_pt_fdt_means32
114.49	119.18	125.59	117.94	145.63	80.65	96.63	130.25	69.51	112.55	84.96	96.44	116.45	125.93	115.01	112.57	106.14	95.74	99.34	126.83	139.69	86.01	127.47	154.68	120.05	133.06	96.4	73.58	118.07	118.22	118.34	63.14
117.78	127.31	133.88	126.54	154.05	87.04	102.76	138.72	75.02	120.25	91.74	104.56	123.66	133	122.56	120.17	113.21	102.54	106.77	134.97	146.24	92.47	135.2	162.77	127.89	140.67	102.33	79.75	126.16	126.73	125.16	69.14
129.32	138.04	145.69	138.08	166.09	99.69	112.84	151.07	82.35	130.84	100.98	114.78	133.64	142.27	133.05	129.58	122.62	111.25	116.28	144.74	155.62	101.13	145.1	173.3	137.83	150.74	110.26	89.58	135.98	137.05	134.36	78.69
139.41	148.84	156.99	150.11	178.07	110.67	121.92	163.58	89.98	140.12	109.95	124.84	142.58	151.59	142.46	138.57	132.6	120.42	126.54	154.43	164.3	110.18	155.36	184.69	147.51	160.61	117.99	99.18	145.99	147.23	143.71	87.49
147.19	158.34	167.34	159.88	188.45	121.47	130.05	174.18	97.85	150.24	119.41	135.43	151.8	160.82	152.23	147.1	140.86	128.92	136.09	163.93	173.18	119.15	165.13	194.92	156.59	170.12	125.93	109.56	155.12	156.7	151.96	96.73
157.06	168.49	177.67	170.69	199.24	131.99	138.53	185.89	105.59	159.75	128.51	144.95	160.46	169.39	161.82	156.25	149.84	137.74	144.97	173.5	181.9	128.6	174.79	204.71	166.01	179.78	134.1	119.1	165.3	166.25	161.02	105.97
168.21	179.43	190.16	182.58	211.69	144.1	147.84	198.48	114.18	170.41	138.41	155.38	170.66	179.64	172.5	165.99	159.6	146.47	155.08	183.79	191.57	137.64	184.95	215.28	176.11	189.51	142.59	129.8	175.17	176.76	170.21	115.88
176.22	187.32	198.33	190.77	218.82	152.02	154.27	206.98	121.19	178.15	145.77	163.51	178.3	186.69	180.49	173.74	167.45	153.86	163.38	192.02	199.08	145.48	194.02	224.05	184.34	197.9	148.93	138.18	183.71	185.24	177.38	124.56
186.01	196.52	207.44	200.87	228.94	162	162.4	217.06	129.54	187.72	154.86	173.46	187.08	196.23	190.31	182.58	176.3	162.25	172.16	201.18	207.44	154.05	203.02	234.06	193.15	207.05	156.74	147.8	193	195.34	185.57	133.96
194.43	205.9	217.1	210.27	239.35	172.19	170.82	227.2	137.16	196.71	164.13	182.7	195.81	204.64	199.6	190.91	184.89	170.34	180.92	209.61	215.65	161.89	211.5	243.89	202.21	215.47	164.74	156.53	201.77	204.04	194.28	142.96
281.12	282.58	297.19	292.2	321.29	252.63	234.88	311.42	202.31	275.61	237.59	263.3	270.02	277.72	278.38	263.93	257.81	239.43	256.4	286.66	287.85	233.61	290.06	326.17	277.28	292.64	228.29	235.59	279.24	281.92	265.12	218.37
346.22	340.73	358.52	353.06	382.75	314.86	285.5	374.31	254.76	338.22	297.4	327.23	328.73	335.54	340.64	320.88	315.8	295.37	317.15	347.99	344.29	291.58	352.7	392.85	337.08	353.69	280.5	300.41	341.04	345.43	320.27	280.56
394.81	387.87	408.21	402.51	433.06	363.8	324.83	425.47	296.06	388.95	343.68	379.04	375.36	381.72	390.45	365.7	361.08	339.59	364.32	397.18	389.71	336.73	403.3	445.19	385.31	402.73	320.58	351.13	390.92	395.83	364.25	328.95
435.83	428.81	452.05	446.94	477.77	408.65	360.31	470.87	331.58	432.01	384.46	423.06	415.49	421.3	434.07	405.53	401.54	376.7	405.86	439.64	428.07	375.55	445.73	489.89	426.21	444.43	355.75	395.2	432.84	439.17	403.08	370.67
461.92	458.25	482	477.11	507.87	438.6	385.84	501.63	357.82	463.24	413.6	455.5	445.03	450.53	464.86	434.02	430.07	405.9	436.76	469.8	457.24	405.55	476.88	523.88	456.1	475.51	382.32	427.04	464.17	470.64	431.03	401.89
491.84	488.68	514.72	509.05	542.57	471.27	412.27	535.73	384.52	494.34	444.16	486.77	474.16	479.21	496.73	462.86	459.39	432.87	466.07	500.87	486.01	433.31	507.85	555.53	485.28	505.28	408.53	458.37	494.5	501.83	459.58	431.87
516.62	514.2	540.44	535.29	568.39	496.97	434.17	561.57	405.7	520.95	468.47	512.87	498.37	503.04	522.43	486.71	483.11	455.87	490.01	525.87	509.64	456.84	533.39	581.22	509.84	530.52	430.62	483.8	520.34	527.87	482.93	457.12
534.83	533.17	559.92	554.74	587.6	517.4	451.28	581.61	423.7	540.92	486.56	533.42	518.39	522.05	542.02	505.84	501.84	474.64	509.51	545.21	528.5	475.49	552.76	602.12	529.91	550.46	448.23	504.09	540.11	547.33	501.7	476.72
552.02	550.25	577.21	572.3	605.25	535.27	466.43	598.93	440.13	558.69	504.43	551.57	535.07	539.11	559.57	522.75	519.65	490.89	527.8	563.76	545.81	492.8	570.95	620.66	547.29	567.74	463.98	523.69	557.75	565.85	518.48	493.83
582.99	580.84	608.28	603.09	636.2	566.6	494.59	630.66	468.46	589.54	534.75	583.26	564.84	568.52	590.24	552.21	548.82	521.29	558.09	594.13	575.4	523.11	602.68	652.83	577.78	598.55	491.86	554.11	588.57	596.24	547.67	525.69
608.38	605.52	634.31	629.42	662.28	591.86	518.28	656.38	492.33	615.22	559.42	608.74	589.78	593.11	615.35	577.1	573.74	545.28	582.95	619.15	599.55	547.61	627.94	678.97	602.16	623.25	515.83	580.34	613.37	621.41	572.02	550.79
631.83	629.29	658.03	654	687	616.27	540.76	682.06	515.03	638.4	582.15	632.07	612.44	616.16	639.11	598.96	595.68	567.03	605.36	642.05	622.05	569.91	650.96	702.09	625.14	646.64	537.41	603.13	637.02	645.77	594.89	573.57
652.02	648.85	678.1	672.87	707.03	635.45	558.64	701.63	533.05	658.56	601.11	652.06	631.52	635.32	658.37	617.91	615.06	585.77	624.34	661.38	641.63	589.78	670.73	722.84	645	666.19	555.85	622.25	656.83	664.39	613.95	593.04
669.36	665.96	695.8	690.52	724.37	653.39	575.98	719.48	549.67	675.85	618.9	669.69	649.31	652.93	676.19	635.11	631.82	602.47	642.3	679.8	659.13	606.07	687.72	740.4	662.29	683.72	573.08	640.76	674.22	681.93	630.85	609.98
784.32	781.64	812.55	806.86	842.31	769.56	685.85	836.76	659.65	791.24	730.36	784.8	761.21	764.45	790.78	746.23	742.01	712.99	753.64	793.01	771.24	717.77	803.29	856.3	776.04	796.77	681.55	754.06	788.52	795.59	742.36	721.45
851.72	850.02	882.58	876.07	912.21	839.22	754.16	906.59	728.35	860.59	800.41	854.91	831.48	835.3	858.82	816.28	812.02	783.48	824.47	861.06	840.74	788.19	872.52	925.75	845.49	865.72	750.15	824.75	857.65	864.68	812.81	790.74
904.34	902.74	936.08	928.92	965.74	892.66	807.5	959.58	781.76	913.61	852.52	907.83	884.24	887.89	911.72	868.26	863.63	835.55	876.88	914.21	893.68	840.44	924.76	978.42	898.42	917.75	803.26	876.48	910.22	917.25	865.23	842.2
947.49	947.77	981	974.38	1010.63	937.71	852.17	1005.02	826.74	958.17	898.08	952.26	929.05	932.72	956.68	913.35	908.72	880.35	922.48	959.56	939.24	885.63	970.88	1023.26	942.96	962.64	848.2	921.26	955.1	962.07	910.82	886.51
985.82	986.45	1019.98	1012.07	1048.96	976.35	890.92	1043.48	865.06	996.77	935.84	990.93	966.67	971.15	994.53	951.37	946.32	918.74	960.14	997.81	977.94	924.37	1009.41	1061.2	981.21	1000.64	886.14	960.05	993.7	999.77	949.13	924.42
1021.12	1021.68	1056.64	1047.71	1086.2	1012.18	925.96	1080.3	900.8	1032.42	971.95	1026.3	1002.78	1007.21	1030.73	986.75	981.45	953.96	995.65	1033.3	1013.45	959.28	1044.7	1096.55	1016.94	1035.3	921.5	995.3	1028.65	1034.37	984.29	959.33
1055.13	1055.64	1090.89	1082.41	1120.32	1046.14	960.21	1115	933.88	1066.17	1005.31	1059.79	1035.6	1041.13	1064.4	1020.68	1014.55	986.48	1028.42	1066.67	1046.26	992.39	1078.17	1130.17	1050.4	1068.72	954.94	1028.62	1062.17	1068.09	1017.94	992.7
1083.45	1085.88	1120.78	1112.95	1150.03	1076.82	990.28	1144.41	964.42	1096.94	1035.16	1089.74	1065.83	1070.92	1094.19	1049.95	1044.12	1016.79	1058.57	1095.87	1076.63	1021.96	1108.07	1160.24	1080.8	1098.77	984.99	1057.86	1092.34	1098.64	1048.3	1021.81
1110.28	1112.9	1148.58	1138.89	1177.93	1104.11	1017.62	1172.2	991.97	1123.57	1062.18	1117.44	1093.1	1098.21	1121.29	1077.68	1070.79	1044.28	1085.91	1123.42	1103.42	1050.61	1135.6	1187.97	1108.28	1125.51	1012.2	1085.25	1119.13	1123.92	1075.69	1048.44
1137.27	1141.03	1176.94	1167.83	1206.22	1131.88	1046.15	1200.57	1019.08	1151.96	1090.19	1145.06	1120.33	1126.43	1148.59	1104.97	1098.24	1071.01	1113.43	1150.29	1131.45	1077.38	1163.44	1215.42	1135.53	1153.79	1040.92	1112.6	1146.97	1152.14	1103.99	1076.16
1161.6	1166.24	1202.16	1193.05	1230.85	1156.83	1071.4	1224.96	1044.56	1176.86	1114.72	1170.44	1145.89	1151.38	1174.35	1130.16	1123.38	1096.96	1138.37	1176.7	1157.14	1103.08	1188.9	1240.79	1161.47	1179.24	1065.94	1138.09	1172.95	1177.4	1129.1	1101.14
