allch_pt_fdt_means1	allch_pt_fdt_means2	allch_pt_fdt_means3	allch_pt_fdt_means4	allch_pt_fdt_means5	allch_pt_fdt_means6	allch_pt_fdt_means7	allch_pt_fdt_means8	allch_pt_fdt_means9	allch_pt_fdt_means10	allch_pt_fdt_means11	allch_pt_fdt_means12	allch_pt_fdt_means13	allch_pt_fdt_means14	allch_pt_fdt_means15	allch_pt_fdt_means16	allch_pt_fdt_means17	allch_pt_fdt_means18	allch_pt_fdt_means19	allch_pt_fdt_means20	allch_pt_fdt_means21	allch_pt_fdt_means22	allch_pt_fdt_means23	allch_pt_fdt_means24	allch_pt_fdt_means25	allch_pt_fdt_means26	allch_pt_fdt_means27	allch_pt_fdt_means28	allch_pt_fdt_means29	allch_pt_fdt_means30	allch_pt_fdt_means31	allch_pt_fdt_means32
140.62	145.92	149.31	138.06	164.52	107.63	120.57	147.17	96.52	123.05	106.96	118.4	135.1	146.5	133.46	130.44	121.67	121.02	121.55	145.08	154.24	112.16	143.21	166.67	137.08	148.39	120.47	101.21	132.82	138.78	137.42	82.89
149.65	157.11	161.31	150.19	177.92	119.71	132.48	159.45	104.68	131.69	116.26	128.41	143.27	155.06	142.26	139.64	131.3	130.42	130.87	153.69	163.5	121.16	151.56	176.24	146.57	157.64	129.49	109.34	141.58	147.52	146.22	90.42
160.85	170.12	175.37	164.36	192.52	134.65	146.13	174.16	114.98	141.6	126.7	137.86	153.56	166.12	152.73	150.42	141.44	140.51	140.78	164.36	173.77	131.46	161.8	186.4	156.45	167.17	139.21	119.43	151.44	157.56	156.44	99.9
171.79	183.7	189.46	178.17	206.21	147.41	159.67	188.77	124.95	151.46	136.59	148.25	164.08	176.89	163.08	161.12	151.8	150.18	150.98	174.9	184.19	140.93	172.27	196.81	167.85	177.91	148.75	130	161.87	168.19	166.41	109.89
182.81	196.65	202.76	192.03	219.58	160.76	172.97	202.04	135.19	161.22	146.92	158.36	174.29	187.49	173.45	171.53	161.98	160.64	161.38	185.45	195.12	150.8	182.53	206.34	177.95	188.21	158.59	139.05	171.88	178.33	177.33	119.87
194.15	209.07	215.57	204.74	233.07	174.81	186.2	215.43	145	171.6	157.18	168.88	184.84	198.29	184.15	182.92	173.15	170.62	171.92	196.43	205.36	161.41	193.08	217.14	189.15	198.51	169.27	149.14	183.23	189.22	187.39	130.77
204.85	220.39	227.75	216.92	245.8	186.53	198.61	228.21	154.35	182.01	167.39	179.26	195.53	208.28	194.6	193.3	183.39	181.06	182.46	206.41	214.97	170.97	202.68	227.36	199.43	208.71	178.76	159.47	193.32	199.32	197.2	140.08
215.89	232.7	240.32	228.92	259.53	199.72	209.34	240.56	164.02	191.88	177.68	189.86	204.99	218.41	204.3	203.31	193.72	191.23	192.7	216.19	225.16	181.26	212.23	237.43	209.43	218.45	188.42	168.94	203.09	209.01	207.16	150.01
226.04	244	253.04	240.58	270.55	210.85	220.3	254.19	173.68	201.58	187.85	199.9	214.9	228.43	214.75	213.63	203.49	200.59	202.21	226.13	235.11	191.37	222.41	247.9	219.67	228.22	198.62	179.27	213.39	219.01	216.44	160.38
236.63	257.17	265.54	253.97	283.06	223.19	232.06	267.16	184.15	211.7	198.05	209.98	225.19	238.64	225.15	223.88	213.34	210.67	212.36	236.1	245.55	201.25	232.72	260.31	230.1	238.37	207.94	189.87	223.59	229.41	226.26	170.06
