allch_pt_fdt_stds1	allch_pt_fdt_stds2	allch_pt_fdt_stds3	allch_pt_fdt_stds4	allch_pt_fdt_stds5	allch_pt_fdt_stds6	allch_pt_fdt_stds7	allch_pt_fdt_stds8	allch_pt_fdt_stds9	allch_pt_fdt_stds10	allch_pt_fdt_stds11	allch_pt_fdt_stds12	allch_pt_fdt_stds13	allch_pt_fdt_stds14	allch_pt_fdt_stds15	allch_pt_fdt_stds16	allch_pt_fdt_stds17	allch_pt_fdt_stds18	allch_pt_fdt_stds19	allch_pt_fdt_stds20	allch_pt_fdt_stds21	allch_pt_fdt_stds22	allch_pt_fdt_stds23	allch_pt_fdt_stds24	allch_pt_fdt_stds25	allch_pt_fdt_stds26	allch_pt_fdt_stds27	allch_pt_fdt_stds28	allch_pt_fdt_stds29	allch_pt_fdt_stds30	allch_pt_fdt_stds31	allch_pt_fdt_stds32
26.278	22.859	24.521	25.47	29.834	22.149	19.084	27.175	11.535	17.526	18.053	15.659	15.143	16.48	20.665	15.456	15.758	10.839	12.326	13.702	15.294	10.771	13.328	14.511	13.527	14.401	14.144	13.48	14.681	16.747	17.077	13.558
21.67	21.021	21.069	22.361	26.613	18.163	16.213	22.701	12.633	18.97	19.477	16.809	16.526	17.487	22.023	16.319	17.048	11.609	12.959	13.911	16.596	11.073	14.279	15.478	14.43	15.265	15.225	13.503	16.044	17.687	17.879	12.737
31.784	26.963	29.091	30.209	35.409	27.273	22.267	31.402	14.765	21.678	22.321	19.135	18.834	20.138	25.141	18.876	19.876	13.339	14.991	16.612	19.186	13.895	16.437	18.339	16.644	18.048	17.68	17.25	18.5	20.446	21.331	17.309
24.3	19.191	21.137	21.548	25.837	19.889	16.352	22.475	11.754	16.749	18.05	15.004	14.283	15.331	19.38	14.705	15.308	10.584	11.792	12.361	14.533	10.715	12.63	13.59	12.54	13.831	13.792	13.849	14.148	15.649	16.762	13.9
21.271	17.762	18.697	19.5	23.291	17.441	14.348	20.059	10.96	15.564	16.472	13.89	13.361	14.601	18.137	13.505	13.813	9.691	10.87	11.392	13.77	9.802	11.474	12.465	11.665	12.536	13.117	12.294	12.784	14.48	14.938	12.561
18.098	12.938	13.691	14.67	17.023	13.724	10.627	14.715	8.262	11.408	12.589	10.546	9.862	10.504	13.525	9.943	10.11	6.925	8.142	8.704	10.156	7.464	8.671	9.363	8.615	9.778	9.363	9.838	9.769	10.711	11.677	9.71
24.075	20.117	20.883	21.829	25.422	20.524	16.592	22.059	12.569	17.162	18.614	15.192	14.655	15.369	19.53	14.431	15.367	10.833	11.914	12.704	14.822	10.791	12.952	13.98	13.156	14.132	13.973	14.952	14.037	16.483	16.726	14.902
14.606	11.476	11.704	12.279	14.402	11.994	9.354	12.646	7.718	10.209	11.212	9.168	8.63	9.502	11.568	8.615	9.21	6.468	7.193	7.596	8.781	6.611	7.665	8.372	7.805	8.079	8.533	8.592	8.514	9.148	9.977	8.62
23.555	14.782	16.384	16.923	20.079	16.608	12.496	17.198	10.194	13.28	14.98	12.046	11.506	12.165	15.772	11.738	12.075	8.734	9.908	10.026	11.962	9.021	10.121	11.287	9.659	11.072	11.284	11.366	11.314	12.276	13.009	11.662
17.437	15.786	16.338	17.356	20.294	16.528	12.879	17.848	10.236	13.819	15.237	12.507	11.691	12.685	16.187	11.71	12.345	8.808	10.195	10.081	11.804	8.878	10.165	11.328	10.481	11.081	11.114	11.648	11.061	12.667	13.167	11.605
20.574	15.831	16.746	17.366	20.201	16.366	13.504	18.16	9.609	13.357	14.684	12.159	11.288	12.108	15.614	11.278	12.213	8.293	9.68	9.909	11.543	8.712	9.958	10.902	10.091	10.762	10.885	11.341	11.203	12.409	12.825	11.569
18.059	13.199	14.663	14.73	17.051	14.052	11.183	15.398	9.203	11.568	12.638	10.216	9.784	10.312	13.336	10.078	10.484	7.261	8.195	8.817	9.937	7.461	8.776	9.087	8.904	9.482	9.704	10.205	9.735	11.025	11.296	10.628
15.207	12.259	12.489	12.979	15.556	12.933	9.77	13.585	8.388	11.485	12.639	10.421	9.987	10.413	13.42	9.523	10.352	6.915	7.867	9.016	9.987	7.336	8.672	9.271	8.963	9.389	9.464	9.735	9.622	10.7	11.17	10.016
21.019	18.689	19.923	20.537	23.977	18.949	15.95	20.783	11.825	15.87	17.439	14.249	13.616	14.155	18.687	13.666	14.498	9.591	10.866	11.738	13.458	10.122	11.695	12.74	11.674	12.873	13.206	13.69	13.262	15.116	15.68	14.089
11.52	8.527	9.315	9.585	11.675	9.385	7.617	9.909	5.864	7.603	8.543	6.786	6.714	7.188	9.187	6.63	7.22	5.221	5.636	5.747	7.066	5.084	5.816	6.539	5.715	6.247	6.689	6.85	6.461	7.209	7.949	6.868
