allch_pt_fdt_stds1	allch_pt_fdt_stds2	allch_pt_fdt_stds3	allch_pt_fdt_stds4	allch_pt_fdt_stds5	allch_pt_fdt_stds6	allch_pt_fdt_stds7	allch_pt_fdt_stds8	allch_pt_fdt_stds9	allch_pt_fdt_stds10	allch_pt_fdt_stds11	allch_pt_fdt_stds12	allch_pt_fdt_stds13	allch_pt_fdt_stds14	allch_pt_fdt_stds15	allch_pt_fdt_stds16	allch_pt_fdt_stds17	allch_pt_fdt_stds18	allch_pt_fdt_stds19	allch_pt_fdt_stds20	allch_pt_fdt_stds21	allch_pt_fdt_stds22	allch_pt_fdt_stds23	allch_pt_fdt_stds24	allch_pt_fdt_stds25	allch_pt_fdt_stds26	allch_pt_fdt_stds27	allch_pt_fdt_stds28	allch_pt_fdt_stds29	allch_pt_fdt_stds30	allch_pt_fdt_stds31	allch_pt_fdt_stds32
10.893	11.606	13	13.431	15.06	12.195	11.203	13.018	6.245	7.636	8.334	7.008	6.935	7.665	8.804	7.597	7.727	5.746	5.876	5.783	7.029	5.459	5.402	6.422	5.951	6.012	6.93	5.522	6.001	6.425	7.081	4.972
11.581	12.115	13.211	12.666	15.143	12.6	11.924	13.483	6.303	7.228	8.664	7.071	6.839	7.618	8.956	7.493	7.502	5.45	5.624	5.99	7.345	5.342	5.936	5.984	5.952	5.95	6.824	5.711	6.011	6.29	7.138	5.775
12.822	11.364	13.014	13.084	14.491	12.348	11.255	12.649	6.026	7.246	8.726	6.519	6.916	7.284	8.623	7.312	6.998	5.076	5.088	5.63	6.869	4.712	5.689	5.832	5.832	6.081	6.512	6.166	5.677	6.227	6.931	5.665
11.225	10.771	11.352	11.06	12.348	10.656	10.058	11.075	6.072	6.945	7.565	6.122	6.383	7.001	7.989	6.828	6.825	4.799	4.985	5.399	6.643	4.489	5.202	5.577	5.66	5.658	5.965	5.355	5.474	5.821	6.883	5.33
9.581	7.957	8.903	9.039	10.435	9.325	8.443	9.182	4.783	5.88	6.378	4.772	5.502	5.552	6.733	5.519	5.69	4.363	4.394	4.661	4.984	4.114	4.279	4.755	4.797	4.595	5.77	4.62	4.484	4.849	5.73	4.879
12.183	11.158	11.411	11.569	14.093	11.627	11.194	11.669	6.364	7.632	8.886	6.901	6.879	7.276	8.444	7.475	7.522	5.433	5.696	6.058	6.539	5.251	5.259	6.218	5.922	5.89	7.208	6.093	5.835	5.895	7.452	5.817
9.834	8.392	9.433	9.255	11.137	8.608	8.274	9.853	5.092	5.831	6.917	5.987	5.304	6.011	6.73	5.568	6.068	4.238	4.37	4.37	5.565	4.273	4.289	5.049	4.652	4.904	5.347	5.004	4.726	5.12	5.422	4.492
10.142	8.443	9.384	9.677	10.497	8.4	7.923	10.257	5.084	5.941	6.993	5.513	5.309	5.984	6.908	5.826	5.658	4.262	4.343	4.656	5.711	4.345	4.592	5.706	4.8	4.869	5.59	4.959	4.751	5.474	5.751	5.278
13.81	11.936	12.049	12.709	13.577	11.782	10.663	12.357	7.05	7.74	9.156	7.04	7.593	7.925	9.426	7.363	7.594	5.507	5.851	6.498	7.644	5.434	5.873	6.182	6.203	6.442	7.096	6.193	6.283	6.864	7.678	6.474
10.191	8.445	8.549	9.28	10.529	8.96	8.061	9.424	5.329	5.848	6.313	5.439	5.2	6.245	6.966	6.023	5.749	4.316	4.558	5.057	6.159	4.106	5.251	4.817	4.743	5.256	5.325	4.47	4.854	5.253	5.734	4.952
10.566	8.314	8.527	8.992	9.819	8.13	7.318	9.29	4.841	5.458	6.486	5.319	5.453	5.74	6.478	5.568	5.593	4.235	4.368	4.096	5.108	4.237	4.343	4.751	4.199	4.537	5.432	4.805	4.295	5.021	5.646	4.592
7.545	6.315	5.957	6.254	7.472	6.333	5.893	6.89	3.674	4.536	5.165	4.128	4.58	4.367	5.332	4.396	4.005	3.272	3.415	3.813	4.421	3.625	3.832	3.711	3.172	3.993	4.443	3.476	3.529	4.13	4.269	3.71
9.421	7.882	8.096	8.51	9.357	7.919	7.064	8.279	4.584	5.294	5.715	4.917	4.807	5.401	6.588	5.219	4.911	3.677	3.564	4.413	5.067	3.514	4.115	4.284	3.97	4.276	4.478	4.298	4.148	4.575	4.769	4.286
8.379	7.033	7.05	7.315	8.353	7.646	6.765	7.479	3.679	4.781	5.596	4.415	4.52	4.623	5.524	4.712	5.224	3.904	3.378	4.261	4.485	3.697	3.817	4.03	3.968	4.31	4.434	4.039	4.115	4.37	4.503	4.213
7.853	6.848	7.501	7.722	8.771	7.469	6.652	8.168	4.237	5.038	5.59	4.28	4.597	4.805	5.493	4.88	5.079	3.609	4.21	3.781	4.904	3.526	3.97	3.827	3.878	3.782	4.285	3.839	3.759	4.121	4.738	4.039
7.975	6.958	6.59	6.819	7.716	6.955	6.33	6.559	3.659	4.198	4.471	4.046	4.021	4.274	4.866	4.231	4.332	2.913	3.178	3.651	3.953	3.065	3.19	3.368	3.356	3.582	4.181	3.344	3.332	3.588	4.054	3.765
5.844	4.796	5.267	5.437	5.546	5.367	5.086	5.176	3.104	3.332	3.507	2.901	3.055	3.43	3.876	3.456	3.56	2.811	2.985	3.02	3.326	2.825	3.126	3.118	2.881	3.518	3.639	2.689	3.053	3.144	3.606	3.092
6.99	5.875	6.829	6.472	7.207	6.378	6.073	6.529	3.659	4.239	4.611	3.638	3.851	4.212	4.421	4.03	4.328	3.367	3.436	3.469	3.869	3.267	3.087	3.404	3.365	3.799	4.249	3.138	3.328	3.577	4.039	3.381
5.915	4.798	4.652	5.312	5.855	4.843	4.839	5.698	2.906	2.876	3.191	2.855	2.756	3.105	3.189	3.256	3.599	2.644	2.772	2.568	3.244	2.773	2.668	2.827	2.713	3.089	3.122	3.106	2.582	2.819	3.199	2.958
6.561	6.076	5.961	5.576	6.069	5.765	5.407	5.659	3.035	3.972	4.055	3.454	3.218	3.874	4.147	3.689	4.028	3.207	3.3	3.279	3.683	3.196	2.988	3.133	3	3.525	4.394	2.841	3.316	3.39	3.688	3.288
7.213	6.536	6.546	6.953	7.63	6.664	6.452	6.445	3.798	4.141	4.922	3.734	4.096	4.531	4.405	4.446	4.009	3.288	3.859	3.394	3.902	3.287	3.334	3.061	3.264	3.704	3.861	3.52	3.426	3.591	4.348	3.264
6.681	5.485	6.046	6.15	6.665	6.23	5.794	6.217	3.433	3.86	4.226	3.481	3.441	3.816	4.288	4.14	4.254	3.41	3.111	3.359	3.607	3.758	3.133	3.74	3.203	3.637	4.124	3.246	3.24	3.119	3.816	3.227
6.778	6.267	6.338	6.119	7.015	6.183	6.296	6.494	3.588	3.799	4.249	3.389	3.573	3.799	4.177	4.091	4.223	3.442	3.286	3.526	3.78	3.436	3.266	3.467	3.34	3.842	3.949	3.274	3.045	3.405	4.402	3.415
5.428	4.274	4.588	4.891	5.203	4.834	4.813	4.579	2.9	2.918	3.168	2.9	2.984	3.18	3.332	3.39	3.893	2.964	2.93	2.789	3.124	2.757	2.854	2.955	2.772	3.505	3.736	2.42	2.914	3.135	2.785	2.904
6.067	5.406	5.604	5.675	6.298	5.751	5.515	5.85	3.685	3.56	3.935	3.448	3.374	3.497	4.277	3.747	4.229	3.168	3.458	3.465	4.22	3.449	3.451	3.64	3.193	4.106	4.07	3.41	3.392	3.524	3.618	3.454
5.999	5.239	5.3	5.642	6.351	5.067	5.528	5.953	3.278	3.199	3.852	3.004	2.911	3.573	3.799	3.816	3.868	3.297	3.047	3.319	3.356	3.177	2.932	3.586	2.939	3.131	3.704	2.796	3.138	3.084	3.418	3.572
5.697	5.265	5.516	5.123	6.467	5.601	5.175	5.662	3.28	3.165	3.686	3.389	3.741	3.846	4.014	3.6	3.869	3.502	3.619	3.598	3.748	2.88	3.07	3.254	3.347	3.51	3.991	2.98	3.384	3.052	3.595	3.136
5.72	5.795	5.963	5.878	7.256	5.75	5.753	6.478	3.263	3.721	4.172	3.155	3.282	3.766	3.653	3.443	3.791	3.383	3.725	3.156	3.729	3.163	3.089	3.258	3.214	3.293	3.666	3.137	2.997	3.427	3.749	3.403
5.339	4.944	4.627	4.622	4.878	4.516	4.326	4.67	2.742	3.457	3.58	3.335	3.266	3.385	4.009	3.451	4.237	3.555	3.656	3.793	3.884	3.416	3.744	3.799	3.281	3.808	3.748	3.041	2.99	3.464	3.885	3.581
6.086	5.797	5.486	6.158	6.336	5.462	5.756	5.991	3.465	3.439	4.277	3.505	3.667	3.665	4.263	4.529	4.355	3.319	3.45	3.503	3.917	3.08	3.688	3.618	3.501	3.419	3.772	3.167	3.116	3.28	5.069	3.509
5.072	4.392	4.709	4.637	5.168	4.758	4.551	4.87	2.836	3.494	3.416	3.196	3.166	3.569	4.12	3.683	3.685	3.186	3.472	3.408	3.3	2.832	3.444	3.81	3.219	2.97	4.496	3.104	2.847	2.772	3.642	3.325
5.417	4.929	5.351	5.56	6.263	5.273	5.369	5.611	3.522	3.553	3.837	3.648	3.34	3.617	3.712	3.598	3.809	3.466	3.066	3.268	3.991	3.029	3.313	3.666	3.561	3.532	3.547	3.2	3.168	3.485	3.959	3.446
6.104	5.292	5.721	5.784	6.202	5.878	5.023	5.886	3.451	3.717	4.065	3.483	3.455	3.832	4.002	3.714	4.534	3.554	3.249	3.529	4.145	3.229	3.487	3.881	3.65	3.766	3.534	3.283	3.331	3.68	4.001	3.392
6.61	5.616	6.031	6.01	6.43	5.857	6.225	5.996	3.63	3.86	4.07	3.336	3.252	3.794	4.194	3.875	4.192	3.682	3.38	3.836	3.691	3.239	3.398	4.032	3.477	3.943	3.957	3.184	3.478	3.459	4.034	4.14
6.543	5.535	5.581	6.142	6.966	6.148	5.554	6.203	3.376	3.685	4.272	3.878	3.451	3.834	4.615	4.253	4.659	3.839	3.322	3.864	4.054	4.022	3.836	3.896	3.645	4.009	4.486	3.819	3.713	3.835	4.089	3.75
5.085	4.345	5.044	5.482	5.802	5.278	5.149	5.14	3.02	3.431	3.426	3.234	3.516	3.737	3.802	3.825	3.802	3.604	3.187	3.248	3.554	3.297	3.581	3.637	3.449	3.864	3.837	3.277	3.062	3.305	3.664	3.272
5.805	5.462	5.087	5.417	6.016	5.969	5.093	5.679	3.387	3.58	3.832	3.405	3.88	3.362	4.02	4.078	4.215	3.849	3.568	3.372	3.947	3.114	3.459	3.533	3.69	3.464	4.011	3.307	3.317	3.72	3.625	3.582
4.67	4.679	4.946	4.457	5.181	4.806	4.393	4.919	2.818	3.351	3.457	2.861	3.191	3.343	3.441	3.852	3.502	3.236	3.155	3.501	3.927	3.249	3.191	3.296	3.002	3.429	3.821	3.047	3.128	3.366	4.09	3.41
5.863	5.387	5.501	5.131	5.48	5.193	5.09	5.119	3.411	3.533	3.893	3.7	3.259	3.476	3.768	3.61	4.17	3.669	3.352	3.751	4.01	3.53	3.609	3.892	3.602	3.551	3.937	2.926	3.386	3.489	4.061	3.58
5.573	5.078	5.667	5.439	5.962	5.385	5.517	5.672	2.936	3.482	3.645	3.307	3.183	3.87	3.959	3.757	3.901	3.754	3.507	3.414	4.055	2.864	3.643	3.798	3.021	3.711	4.256	3.306	3.1	2.937	3.608	3.355
6.108	4.939	5.635	5.582	6.309	5.445	5.409	5.34	3.713	3.372	3.687	3.266	3.403	3.368	3.941	3.621	4.104	3.652	3.255	3.357	3.709	3.096	3.468	3.489	3.173	3.8	3.766	2.796	2.992	3.279	3.751	3.724
5.786	4.863	5.264	5.372	5.758	5.268	5.475	5.645	3.26	3.642	3.656	3.328	3.199	3.733	4.174	3.584	3.764	3.326	3.255	3.342	4.211	3.164	3.299	3.16	3.375	3.538	4.039	3.496	3.557	3.473	3.555	3.587
4.968	3.918	4.412	4.507	5.07	4.584	4.343	4.365	2.691	3.088	2.925	2.831	3.007	2.762	3.15	3.295	3.395	2.83	3.015	2.847	3.255	2.599	2.809	2.903	2.928	3.101	3.187	2.916	2.681	2.712	3.271	2.949
5.873	4.633	5.203	5.382	5.42	5.663	5.355	5.955	3.503	3.357	3.694	3.385	3.454	3.266	3.653	3.541	4.108	3.294	3.058	3.368	3.651	3.09	2.93	3.605	3.372	3.409	4.048	2.797	2.961	3.447	4.086	3.238
5.388	5.183	6.422	5.479	6.608	5.812	5.632	5.586	3.46	3.697	3.905	3.425	3.284	3.744	3.874	3.56	4.142	3.494	3.537	3.258	3.7	3.195	3.265	3.457	3.715	3.783	3.895	3.394	3.359	3.606	3.867	3.77
5.434	5.065	5.786	6.441	6.131	5.699	5.432	5.378	3.533	3.822	3.957	3.308	3.733	4.095	4.08	3.917	3.829	3.662	3.812	3.326	4.085	3.47	4.322	3.508	3.249	3.68	4.411	3.293	3.385	3.202	4.248	3.492
5.476	5.372	5.006	4.991	5.832	5.842	5.255	4.774	2.895	3.691	3.73	3.339	3.486	3.397	4.372	3.512	3.986	3.498	3.43	3.364	4.186	3.134	3.454	3.334	4.162	3.586	4.029	2.901	3.686	3.307	3.697	3.784
4.399	4.567	4.908	4.467	5.212	4.899	4.775	4.765	2.812	2.987	3.566	2.86	3.51	3.5	3.683	3.509	3.642	3.394	4.204	3.228	3.647	3.103	3.045	3.232	3.189	3.712	3.937	3.122	2.958	2.97	3.894	3.471
5.104	4.665	4.88	5.421	5.749	5.26	5.375	5.315	3.48	3.53	4.335	3.152	3.286	3.571	3.942	4.129	5.094	3.399	3.623	3.157	4.159	3.08	3.414	3.462	3.45	3.37	3.492	3.342	3.116	3.576	4.069	3
4.597	5.367	5.095	5.237	5.243	5.084	5.268	4.882	3.586	3.321	3.858	3.509	3.304	3.551	4.348	3.689	4.14	3.673	3.741	3.669	3.772	3.466	3.307	3.488	3.374	3.683	5.147	3.198	3.596	3.301	4.061	3.429
