ch	pt	fine_thr	a_fit	b_fit
 0	 0	 0	225.792	4.602
 0	 0	 1	224.891	4.632
 0	 0	 2	223.908	4.639
 0	 0	 3	223.021	4.604
 0	 0	 4	221.905	4.591
 0	 0	 5	220.980	4.644
 0	 0	 6	220.183	4.636
 0	 0	 7	219.078	4.614
 0	 1	 0	225.616	2.311
 0	 1	 1	224.763	2.192
 0	 1	 2	223.892	2.253
 0	 1	 3	222.874	2.255
 0	 1	 4	221.718	2.127
 0	 1	 5	220.797	2.123
 0	 1	 6	219.845	2.121
 0	 1	 7	218.948	2.073
 0	 2	 0	225.613	1.452
 0	 2	 1	224.649	1.445
 0	 2	 2	223.748	1.472
 0	 2	 3	222.701	1.442
 0	 2	 4	221.619	1.419
 0	 2	 5	220.670	1.425
 0	 2	 6	219.823	1.380
 0	 2	 7	218.852	1.271
 0	 3	 0	225.540	1.055
 0	 3	 1	224.591	1.122
 0	 3	 2	223.717	1.078
 0	 3	 3	222.773	1.100
 0	 3	 4	221.597	1.121
 0	 3	 5	220.589	1.056
 0	 3	 6	219.774	1.084
 0	 3	 7	218.714	1.066
 0	 4	 0	225.548	1.017
 0	 4	 1	224.534	0.858
 0	 4	 2	223.655	0.980
 0	 4	 3	222.735	0.926
 0	 4	 4	221.599	0.995
 0	 4	 5	220.629	0.926
 0	 4	 6	219.687	0.856
 0	 4	 7	218.702	0.847
 0	 5	 0	225.494	0.692
 0	 5	 1	224.598	0.789
 0	 5	 2	223.683	0.829
 0	 5	 3	222.626	0.719
 0	 5	 4	221.575	0.714
 0	 5	 5	220.617	0.756
 0	 5	 6	219.675	0.624
 0	 5	 7	218.787	0.699
 0	 6	 0	225.568	0.692
 0	 6	 1	224.555	0.653
 0	 6	 2	223.641	0.632
 0	 6	 3	222.724	0.705
 0	 6	 4	221.645	0.620
 0	 6	 5	220.620	0.665
 0	 6	 6	219.653	0.568
 0	 6	 7	218.819	0.658
 0	 7	 0	225.576	0.632
 0	 7	 1	224.565	0.631
 0	 7	 2	223.669	0.680
 0	 7	 3	222.662	0.624
 0	 7	 4	221.588	0.637
 0	 7	 5	220.602	0.664
 0	 7	 6	219.662	0.557
 0	 7	 7	218.800	0.550
 1	 0	 0	228.336	4.526
 1	 0	 1	227.306	4.621
 1	 0	 2	226.130	4.574
 1	 0	 3	225.248	4.557
 1	 0	 4	224.201	4.657
 1	 0	 5	223.210	4.570
 1	 0	 6	222.352	4.519
 1	 0	 7	221.206	4.533
 1	 1	 0	228.053	1.834
 1	 1	 1	227.021	1.812
