Peaking Times - based on Mean values without Outliers [us]
  #0	  #1	  #2	  #3	  #4	  #5	  #6	  #7	  #8	  #9	 #10	 #11	 #12	 #13	 #14	 #15	 #16	 #17	 #18	 #19	 #20	 #21	 #22	 #23	 #24	 #25	 #26	 #27	 #28	 #29	 #30	 #31	mean	std	median	outliers	mean_w/o_out	std_w/o_out
0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.2500	0.0000	0.2500	  0	0.2500	0.0000
0.4167	0.4167	0.4167	0.3958	0.3958	0.4167	0.4167	0.4167	0.4167	0.4167	0.4167	0.4167	0.3958	0.4167	0.3958	0.3958	0.3958	0.3958	0.4167	0.4167	0.3958	0.4167	0.4167	0.4167	0.4167	0.4167	0.4167	0.3958	0.4167	0.4167	0.4167	0.3958	0.4102	0.0098	0.4167	 10	0.4167	0.0000
0.5625	0.5833	0.5625	0.5625	0.5625	0.5625	0.5625	0.5625	0.5833	0.5833	0.5625	0.5625	0.5625	0.5625	0.5625	0.5625	0.5833	0.5833	0.5625	0.5625	0.5833	0.5833	0.5625	0.5833	0.5833	0.5625	0.5625	0.5625	0.5625	0.5625	0.5833	0.5625	0.5690	0.0098	0.5625	 10	0.5625	0.0000
0.7292	0.7292	0.7292	0.7292	0.7292	0.7292	0.7292	0.7292	0.7292	0.7292	0.7292	0.7292	0.7292	0.7292	0.7292	0.7292	0.7292	0.7292	0.7292	0.7292	0.7292	0.7292	0.7500	0.7292	0.7292	0.7292	0.7292	0.7292	0.7292	0.7292	0.7292	0.7292	0.7298	0.0037	0.7292	  1	0.7292	0.0000
0.8958	0.8958	0.8958	0.8958	0.8958	0.8958	0.8958	0.8958	0.8958	0.8958	0.8958	0.8958	0.8958	0.8958	0.8958	0.8958	0.8542	0.8958	0.8542	0.8958	0.8958	0.8958	0.8958	0.9167	0.8958	0.8958	0.8958	0.8958	0.8958	0.8958	0.8958	0.8542	0.8926	0.0131	0.8958	  4	0.8958	0.0000
1.1250	1.1250	1.1250	1.1250	1.1250	1.1250	1.1250	1.1250	1.1250	1.1250	1.1250	1.1458	1.1250	1.1250	1.1250	1.1250	1.1250	1.1458	1.1250	1.1250	1.1458	1.1250	1.1458	1.1042	1.1250	1.1458	1.1250	1.1458	1.1458	1.1458	1.1042	1.1458	1.1296	0.0115	1.1250	 11	1.1250	0.0000
1.3750	1.3125	1.3750	1.3958	1.3750	1.3750	1.3750	1.3125	1.3750	1.3750	1.3750	1.3750	1.3750	1.3958	1.3125	1.3125	1.3750	1.3958	1.3958	1.3958	1.3333	1.3750	1.3542	1.3750	1.3750	1.3750	1.3750	1.3958	1.3750	1.3750	1.3750	1.3125	1.3672	0.0269	1.3750	 13	1.3750	0.0000
1.6250	1.6250	1.6250	1.6250	1.6250	1.6250	1.6250	1.6250	1.6250	1.6250	1.6250	1.6250	1.6250	1.6250	1.6250	1.6250	1.6667	1.6458	1.6667	1.6250	1.6667	1.6250	1.6250	1.5833	1.6250	1.6250	1.6250	1.6250	1.6875	1.6250	1.6667	1.6250	1.6315	0.0194	1.6250	  7	1.6250	0.0000
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Peaking Times - based on Mean values with outliers [us]
