# ASIC configuration for the measurements:
# ------------------------------------------------------------------------------
# Mode = 000 
# Bias = 0110 
# CSArefs = 0011 
# Shaper = 000 
# Leakage mask = 00000000000000000000000000000000 
# Discr. enable mask = 11111111111111111111111111111111 
# Calibration mask = 00000000000000000000000000000000 
# Threshold = 255 
# FineTHR[0] = 010 
# FineTHR[1] = 010 
# FineTHR[2] = 010 
# FineTHR[3] = 010 
# FineTHR[4] = 010 
# FineTHR[5] = 010 
# FineTHR[6] = 010 
# FineTHR[7] = 010 
# FineTHR[8] = 010 
# FineTHR[9] = 010 
# FineTHR[10] = 010 
# FineTHR[11] = 010 
# FineTHR[12] = 010 
# FineTHR[13] = 010 
# FineTHR[14] = 010 
# FineTHR[15] = 010 
# FineTHR[16] = 010 
# FineTHR[17] = 010 
# FineTHR[18] = 010 
# FineTHR[19] = 010 
# FineTHR[20] = 010 
# FineTHR[21] = 010 
# FineTHR[22] = 010 
# FineTHR[23] = 010 
# FineTHR[24] = 010 
# FineTHR[25] = 010 
# FineTHR[26] = 010 
# FineTHR[27] = 010 
# FineTHR[28] = 010 
# FineTHR[29] = 010 
# FineTHR[30] = 010 
# FineTHR[31] = 010 
# ------------------------------------------------------------------------------
# Event data block #1
# Threshold	DAC	Events	Triggered	CH#
200	0	1000	0	0
200	0	1000	0	1
200	0	1000	4	2
200	0	1000	0	3
200	0	1000	2	4
200	0	1000	3	5
200	0	1000	2	6
200	0	1000	0	7
200	0	1000	3	8
200	0	1000	0	9
200	0	1000	0	10
200	0	1000	6	11
200	0	1000	0	12
200	0	1000	0	13
200	0	1000	1	14
200	0	1000	6	15
200	0	1000	16	16
200	0	1000	20	17
200	0	1000	13	18
200	0	1000	11	19
200	0	1000	6	20
200	0	1000	0	21
200	0	1000	29	22
200	0	1000	5	23
200	0	1000	0	24
200	0	1000	0	25
200	0	1000	5	26
200	0	1000	5	27
200	0	1000	3	28
200	0	1000	2	29
200	0	1000	2	30
200	0	1000	0	31
# Event data block #2
# Threshold	DAC	Events	Triggered	CH#
201	0	1000	0	0
201	0	1000	0	1
201	0	1000	14	2
201	0	1000	3	3
201	0	1000	10	4
201	0	1000	10	5
201	0	1000	6	6
201	0	1000	3	7
201	0	1000	12	8
201	0	1000	1	9
201	0	1000	0	10
201	0	1000	20	11
201	0	1000	0	12
201	0	1000	0	13
201	0	1000	8	14
201	0	1000	14	15
201	0	1000	24	16
201	0	1000	39	17
201	0	1000	29	18
201	0	1000	23	19
201	0	1000	16	20
201	0	1000	0	21
201	0	1000	43	22
201	0	1000	13	23
201	0	1000	3	24
201	0	1000	0	25
201	0	1000	17	26
201	0	1000	15	27
201	0	1000	12	28
201	0	1000	9	29
201	0	1000	12	30
201	0	1000	2	31
# Event data block #3
# Threshold	DAC	Events	Triggered	CH#
202	0	1000	0	0
202	0	1000	0	1
202	0	1000	4	2
202	0	1000	3	3
202	0	1000	4	4
202	0	1000	4	5
202	0	1000	3	6
202	0	1000	3	7
202	0	1000	4	8
202	0	1000	3	9
202	0	1000	0	10
202	0	1000	12	11
202	0	1000	1	12
202	0	1000	0	13
202	0	1000	3	14
202	0	1000	6	15
202	0	1000	16	16
202	0	1000	27	17
202	0	1000	20	18
202	0	1000	19	19
202	0	1000	9	20
202	0	1000	0	21
202	0	1000	38	22
202	0	1000	6	23
202	0	1000	3	24
202	0	1000	1	25
202	0	1000	5	26
202	0	1000	5	27
202	0	1000	4	28
202	0	1000	4	29
202	0	1000	5	30
202	0	1000	1	31
# Event data block #4
# Threshold	DAC	Events	Triggered	CH#
203	0	1000	0	0
203	0	1000	0	1
203	0	1000	14	2
203	0	1000	5	3
203	0	1000	8	4
203	0	1000	11	5
203	0	1000	7	6
203	0	1000	5	7
203	0	1000	10	8
203	0	1000	3	9
203	0	1000	0	10
203	0	1000	21	11
203	0	1000	0	12
203	0	1000	0	13
203	0	1000	9	14
203	0	1000	15	15
203	0	1000	30	16
203	0	1000	46	17
203	0	1000	33	18
203	0	1000	27	19
203	0	1000	16	20
203	0	1000	1	21
203	0	1000	62	22
203	0	1000	14	23
203	0	1000	3	24
203	0	1000	1	25
203	0	1000	15	26
203	0	1000	16	27
203	0	1000	13	28
203	0	1000	7	29
203	0	1000	11	30
203	0	1000	2	31
# Event data block #5
# Threshold	DAC	Events	Triggered	CH#
204	0	1000	2	0
204	0	1000	2	1
204	0	1000	17	2
204	0	1000	4	3
204	0	1000	8	4
204	0	1000	10	5
204	0	1000	5	6
204	0	1000	3	7
204	0	1000	13	8
204	0	1000	2	9
204	0	1000	2	10
204	0	1000	27	11
204	0	1000	2	12
204	0	1000	1	13
204	0	1000	10	14
204	0	1000	15	15
204	0	1000	30	16
204	0	1000	50	17
204	0	1000	33	18
204	0	1000	33	19
204	0	1000	21	20
204	0	1000	1	21
204	0	1000	63	22
204	0	1000	13	23
204	0	1000	3	24
204	0	1000	3	25
204	0	1000	15	26
204	0	1000	20	27
204	0	1000	15	28
204	0	1000	8	29
204	0	1000	12	30
204	0	1000	2	31
# Event data block #6
# Threshold	DAC	Events	Triggered	CH#
205	0	1000	2	0
205	0	1000	2	1
205	0	1000	16	2
205	0	1000	6	3
205	0	1000	9	4
205	0	1000	12	5
205	0	1000	6	6
205	0	1000	5	7
205	0	1000	14	8
205	0	1000	5	9
205	0	1000	2	10
205	0	1000	23	11
205	0	1000	3	12
205	0	1000	1	13
205	0	1000	10	14
205	0	1000	20	15
205	0	1000	36	16
205	0	1000	57	17
205	0	1000	39	18
205	0	1000	31	19
205	0	1000	20	20
205	0	1000	1	21
205	0	1000	72	22
205	0	1000	16	23
205	0	1000	4	24
205	0	1000	2	25
205	0	1000	16	26
205	0	1000	23	27
205	0	1000	14	28
205	0	1000	8	29
205	0	1000	14	30
205	0	1000	5	31
# Event data block #7
# Threshold	DAC	Events	Triggered	CH#
206	0	1000	5	0
206	0	1000	3	1
206	0	1000	24	2
206	0	1000	8	3
206	0	1000	16	4
206	0	1000	22	5
206	0	1000	11	6
206	0	1000	8	7
206	0	1000	23	8
206	0	1000	8	9
206	0	1000	2	10
206	0	1000	35	11
206	0	1000	2	12
206	0	1000	2	13
206	0	1000	17	14
206	0	1000	25	15
206	0	1000	50	16
206	0	1000	78	17
206	0	1000	60	18
206	0	1000	48	19
206	0	1000	28	20
206	0	1000	1	21
206	0	1000	121	22
206	0	1000	21	23
206	0	1000	7	24
206	0	1000	5	25
206	0	1000	25	26
206	0	1000	25	27
206	0	1000	23	28
206	0	1000	14	29
206	0	1000	22	30
206	0	1000	7	31
# Event data block #8
# Threshold	DAC	Events	Triggered	CH#
207	0	1000	4	0
207	0	1000	4	1
207	0	1000	30	2
207	0	1000	6	3
