# ASIC configuration for the measurements:
# ------------------------------------------------------------------------------
# Mode = 001 
# Bias = 0110 
# CSArefs = 0011 
# Shaper = 000 
# Leakage mask = 00000000000000000000000000000000 
# Discr. enable mask = 00000000000000000000000000000000 
# Calibration mask = 11111111111111111111111111111111 
# Threshold = 128 
# FineTHR[0] = 011 
# FineTHR[1] = 011 
# FineTHR[2] = 011 
# FineTHR[3] = 011 
# FineTHR[4] = 011 
# FineTHR[5] = 011 
# FineTHR[6] = 011 
# FineTHR[7] = 011 
# FineTHR[8] = 011 
# FineTHR[9] = 011 
# FineTHR[10] = 011 
# FineTHR[11] = 011 
# FineTHR[12] = 011 
# FineTHR[13] = 011 
# FineTHR[14] = 011 
# FineTHR[15] = 011 
# FineTHR[16] = 011 
# FineTHR[17] = 011 
# FineTHR[18] = 011 
# FineTHR[19] = 011 
# FineTHR[20] = 011 
# FineTHR[21] = 011 
# FineTHR[22] = 011 
# FineTHR[23] = 011 
# FineTHR[24] = 011 
# FineTHR[25] = 011 
# FineTHR[26] = 011 
# FineTHR[27] = 011 
# FineTHR[28] = 011 
# FineTHR[29] = 011 
# FineTHR[30] = 011 
# FineTHR[31] = 011 
# ------------------------------------------------------------------------------
# Event data block #1
# Delay	DAC	Type	CH#	Value
12	10	00	0	154
12	10	00	1	145
12	10	00	2	170
12	10	00	3	157
12	10	00	4	160
12	10	00	5	154
12	10	00	6	146
12	10	00	7	138
12	10	00	8	158
12	10	00	9	139
12	10	00	10	118
12	10	00	11	189
12	10	00	12	141
12	10	00	13	149
12	10	00	14	167
12	10	00	15	160
12	10	00	16	195
12	10	00	17	221
12	10	00	18	191
12	10	00	19	173
12	10	00	20	170
12	10	00	21	131
12	10	00	22	201
12	10	00	23	162
12	10	00	24	133
12	10	00	25	141
12	10	00	26	171
12	10	00	27	182
12	10	00	28	178
12	10	00	29	182
12	10	00	30	182
12	10	10	31	166
12	10	00	0	181
12	10	00	1	168
12	10	00	2	204
12	10	00	3	189
12	10	00	4	187
12	10	00	5	197
12	10	00	6	166
12	10	00	7	177
12	10	00	8	194
12	10	00	9	170
12	10	00	10	158
12	10	00	11	219
12	10	00	12	173
12	10	00	13	170
12	10	00	14	190
12	10	00	15	179
12	10	00	16	216
12	10	00	17	237
12	10	00	18	223
12	10	00	19	202
12	10	00	20	201
12	10	00	21	165
12	10	00	22	232
12	10	00	23	198
12	10	00	24	169
12	10	00	25	172
12	10	00	26	206
12	10	00	27	218
12	10	00	28	211
12	10	00	29	210
12	10	00	30	210
12	10	10	31	186
12	10	00	0	216
12	10	00	1	208
12	10	00	2	249
12	10	00	3	225
12	10	00	4	233
12	10	00	5	235
12	10	00	6	213
12	10	00	7	219
12	10	00	8	232
12	10	00	9	209
12	10	00	10	197
12	10	00	11	258
12	10	00	12	214
12	10	00	13	209
12	10	00	14	225
12	10	00	15	214
12	10	00	16	230
12	10	00	17	265
12	10	00	18	242
12	10	00	19	239
12	10	00	20	234
12	10	00	21	197
12	10	00	22	281
12	10	00	23	238
12	10	00	24	213
12	10	00	25	219
12	10	00	26	240
12	10	00	27	248
12	10	00	28	238
12	10	00	29	245
12	10	00	30	242
12	10	10	31	216
12	10	00	0	191
12	10	00	1	189
12	10	00	2	223
12	10	00	3	208
12	10	00	4	212
12	10	00	5	214
12	10	00	6	196
12	10	00	7	191
12	10	00	8	205
12	10	00	9	193
12	10	00	10	172
12	10	00	11	237
12	10	00	12	188
12	10	00	13	197
12	10	00	14	224
12	10	00	15	215
12	10	00	16	245
12	10	00	17	262
12	10	00	18	243
12	10	00	19	226
12	10	00	20	225
12	10	00	21	181
12	10	00	22	253
12	10	00	23	221
12	10	00	24	188
12	10	00	25	182
12	10	00	26	217
12	10	00	27	227
12	10	00	28	229
12	10	00	29	234
12	10	00	30	223
12	10	10	31	202
12	10	00	0	166
12	10	00	1	161
12	10	00	2	189
12	10	00	3	174
12	10	00	4	183
12	10	00	5	180
12	10	00	6	161
12	10	00	7	155
12	10	00	8	183
12	10	00	9	151
12	10	00	10	151
12	10	00	11	210
12	10	00	12	158
12	10	00	13	171
12	10	00	14	185
12	10	00	15	178
12	10	00	16	217
12	10	00	17	235
12	10	00	18	213
12	10	00	19	194
12	10	00	20	196
12	10	00	21	145
12	10	00	22	219
12	10	00	23	178
12	10	00	24	154
12	10	00	25	157
