ch	pt	tc	mean	std	median	outliers	mean_w/o_out	std_w/o_out	samples
 0	 0	  0	 140.43	18.682	139.5	  6	 138.89	13.654	 100
 0	 0	  1	 153.63	20.689	154.5	  2	 153.59	17.690	 100
 0	 0	  2	 200.70	20.116	201.5	  3	 201.48	17.053	 100
 0	 0	  3	 300.94	19.710	299.5	  5	 299.05	14.678	 100
 0	 0	  4	 384.06	18.713	383.0	  3	 382.30	15.800	 100
 0	 0	  5	 447.73	13.370	447.0	  5	 447.88	10.393	 100
 0	 0	  6	 499.98	12.864	499.0	  6	 498.89	 8.236	 100
 0	 0	  7	 544.07	10.912	546.0	  5	 544.61	 8.330	 100
 0	 0	  8	 578.65	10.626	580.0	  0	 578.65	10.626	 100
 0	 0	  9	 604.20	 8.548	604.0	  0	 604.20	 8.548	 100
 0	 0	 10	 626.10	11.243	625.0	  2	 625.44	10.339	 100
 0	 0	 11	 635.31	11.258	634.5	  2	 634.68	10.462	 100
 0	 0	 12	 637.22	10.084	637.0	  1	 636.89	 9.573	 100
 0	 0	 13	 635.67	 8.654	634.0	  3	 634.89	 7.454	 100
 0	 0	 14	 627.14	 7.667	627.0	  1	 626.91	 7.349	 100
 0	 0	 15	 613.01	 8.898	613.0	  5	 611.80	 7.301	 100
 0	 0	 16	 596.99	 8.157	597.0	  1	 596.71	 7.689	 100
 0	 0	 17	 582.10	 8.549	582.0	  3	 581.82	 7.536	 100
 0	 0	 18	 563.76	 8.702	564.0	  2	 563.82	 7.949	 100
 0	 0	 19	 546.36	10.319	545.0	  2	 545.76	 9.492	 100
 0	 0	 20	 524.61	 7.034	525.0	  1	 524.83	 6.720	 100
 0	 0	 21	 504.26	 7.689	504.0	  2	 504.26	 7.128	 100
 0	 0	 22	 482.65	 7.255	482.0	  0	 482.65	 7.255	 100
 0	 0	 23	 461.40	 7.889	461.5	  1	 461.08	 7.252	 100
 0	 0	 24	 440.84	 6.665	441.0	  0	 440.84	 6.665	 100
 0	 0	 25	 420.44	 7.915	420.0	  1	 420.11	 7.236	 100
 0	 0	 26	 401.08	 6.559	401.0	  4	 400.54	 5.138	 100
 0	 0	 27	 378.79	 6.056	378.0	  0	 378.79	 6.056	 100
 0	 0	 28	 359.94	 4.847	360.0	  0	 359.94	 4.847	 100
 0	 0	 29	 341.15	 4.877	341.0	  3	 340.69	 4.172	 100
 0	 0	 30	 324.21	 4.058	324.0	  5	 324.05	 3.327	 100
 0	 0	 31	 308.38	 3.414	308.0	  4	 308.19	 2.907	 100
 0	 0	 32	 293.30	 3.425	293.0	  3	 292.97	 2.856	 100
 0	 0	 33	 279.06	 3.216	279.0	  2	 279.05	 2.877	 100
 0	 0	 34	 267.15	 2.931	267.0	  1	 267.06	 2.806	 100
 0	 0	 35	 255.14	 3.522	256.0	  0	 255.14	 3.522	 100
 0	 0	 36	 244.27	 2.870	244.0	  1	 244.18	 2.746	 100
 0	 0	 37	 235.52	 2.751	236.0	  0	 235.52	 2.751	 100
 0	 0	 38	 227.03	 2.153	227.0	  0	 227.03	 2.153	 100
 0	 0	 39	 218.57	 2.235	218.5	  1	 218.49	 2.116	 100
 0	 0	 40	 211.60	 2.327	211.5	  0	 211.60	 2.327	 100
 0	 0	 41	 204.69	 2.444	205.0	  0	 204.69	 2.444	 100
 0	 0	 42	 198.03	 2.032	198.0	  2	 198.04	 1.894	 100
 0	 0	 43	 192.28	 2.216	192.0	  5	 192.23	 1.876	 100
 0	 0	 44	 186.74	 2.385	187.0	  0	 186.74	 2.385	 100
 0	 0	 45	 181.39	 2.224	181.0	  8	 181.36	 1.641	 100
 0	 0	 46	 176.26	 2.223	176.0	  0	 176.26	 2.223	 100
 0	 0	 47	 172.16	 2.173	173.0	  0	 172.16	 2.173	 100
 0	 0	 48	 168.88	 1.945	169.0	  3	 168.93	 1.769	 100
 0	 0	 49	 165.32	 1.984	165.0	  3	 165.43	 1.554	 100
 0	 0	 50	 162.25	 1.982	162.0	  4	 162.26	 1.675	 100
 0	 0	 51	 159.86	 2.202	160.0	  0	 159.86	 2.202	 100
 0	 0	 52	 157.48	 2.320	157.0	  0	 157.48	 2.320	 100
 0	 0	 53	 155.35	 2.371	155.0	  1	 155.45	 2.139	 100
 0	 0	 54	 153.76	 2.495	154.0	  5	 153.89	 1.865	 100
 0	 0	 55	 152.17	 1.985	152.0	  4	 152.07	 1.755	 100
