# ASIC configuration for the measurements:
# ------------------------------------------------------------------------------
# Mode = 001 
# Bias = 0101 
# CSArefs = 1011 
# Shaper = 010 
# Leakage mask = 00000000000000000000000000000000 
# Discr. enable mask = 00000000000000000000000000000000 
# Calibration mask = 11111111111111111111111111111111 
# Threshold = 128 
# FineTHR[0] = 011 
# FineTHR[1] = 011 
# FineTHR[2] = 011 
# FineTHR[3] = 011 
# FineTHR[4] = 011 
# FineTHR[5] = 011 
# FineTHR[6] = 011 
# FineTHR[7] = 011 
# FineTHR[8] = 011 
# FineTHR[9] = 011 
# FineTHR[10] = 011 
# FineTHR[11] = 011 
# FineTHR[12] = 011 
# FineTHR[13] = 011 
# FineTHR[14] = 011 
# FineTHR[15] = 011 
# FineTHR[16] = 011 
# FineTHR[17] = 011 
# FineTHR[18] = 011 
# FineTHR[19] = 011 
# FineTHR[20] = 011 
# FineTHR[21] = 011 
# FineTHR[22] = 011 
# FineTHR[23] = 011 
# FineTHR[24] = 011 
# FineTHR[25] = 011 
# FineTHR[26] = 011 
# FineTHR[27] = 011 
# FineTHR[28] = 011 
# FineTHR[29] = 011 
# FineTHR[30] = 011 
# FineTHR[31] = 011 
# ------------------------------------------------------------------------------
# Event data block #1
# Delay	DAC	Type	CH#	Value
30	10	00	0	186
30	10	00	1	158
30	10	00	2	200
30	10	00	3	181
30	10	00	4	177
30	10	00	5	188
30	10	00	6	226
30	10	00	7	183
30	10	00	8	189
30	10	00	9	170
30	10	00	10	206
30	10	00	11	163
30	10	00	12	171
30	10	00	13	168
30	10	00	14	245
30	10	00	15	133
30	10	00	16	211
30	10	00	17	155
30	10	00	18	168
30	10	00	19	178
30	10	00	20	174
30	10	00	21	191
30	10	00	22	189
30	10	00	23	212
30	10	00	24	175
30	10	00	25	184
30	10	00	26	202
30	10	00	27	216
30	10	00	28	205
30	10	00	29	209
30	10	00	30	189
30	10	10	31	209
30	10	00	0	184
30	10	00	1	157
30	10	00	2	198
30	10	00	3	183
30	10	00	4	178
30	10	00	5	186
30	10	00	6	225
30	10	00	7	184
30	10	00	8	187
30	10	00	9	167
30	10	00	10	202
30	10	00	11	164
30	10	00	12	170
30	10	00	13	163
30	10	00	14	245
30	10	00	15	131
30	10	00	16	210
30	10	00	17	154
30	10	00	18	166
30	10	00	19	172
30	10	00	20	173
30	10	00	21	190
30	10	00	22	184
30	10	00	23	209
30	10	00	24	173
30	10	00	25	181
30	10	00	26	204
30	10	00	27	212
30	10	00	28	202
30	10	00	29	205
30	10	00	30	186
30	10	10	31	206
30	10	00	0	185
30	10	00	1	160
30	10	00	2	198
30	10	00	3	180
30	10	00	4	176
30	10	00	5	183
30	10	00	6	224
30	10	00	7	181
30	10	00	8	182
30	10	00	9	167
30	10	00	10	202
30	10	00	11	164
30	10	00	12	166
30	10	00	13	167
30	10	00	14	244
30	10	00	15	131
30	10	00	16	210
30	10	00	17	155
30	10	00	18	168
30	10	00	19	173
30	10	00	20	174
30	10	00	21	187
30	10	00	22	186
30	10	00	23	207
30	10	00	24	173
30	10	00	25	182
30	10	00	26	203
30	10	00	27	210
30	10	00	28	205
30	10	00	29	205
30	10	00	30	188
30	10	10	31	206
30	10	00	0	182
30	10	00	1	157
30	10	00	2	196
30	10	00	3	177
30	10	00	4	175
30	10	00	5	182
30	10	00	6	219
30	10	00	7	180
30	10	00	8	182
30	10	00	9	166
30	10	00	10	203
30	10	00	11	157
30	10	00	12	169
30	10	00	13	165
30	10	00	14	241
30	10	00	15	128
30	10	00	16	208
30	10	00	17	154
30	10	00	18	166
30	10	00	19	173
30	10	00	20	170
30	10	00	21	189
30	10	00	22	187
30	10	00	23	206
30	10	00	24	170
30	10	00	25	177
30	10	00	26	202
30	10	00	27	213
30	10	00	28	202
30	10	00	29	204
30	10	00	30	184
30	10	10	31	205
30	10	00	0	183
30	10	00	1	157
30	10	00	2	196
30	10	00	3	183
30	10	00	4	174
30	10	00	5	185
30	10	00	6	222
30	10	00	7	181
30	10	00	8	181
30	10	00	9	164
30	10	00	10	199
30	10	00	11	160
30	10	00	12	168
30	10	00	13	164
30	10	00	14	243
30	10	00	15	128
30	10	00	16	206
30	10	00	17	154
30	10	00	18	170
30	10	00	19	173
30	10	00	20	174
30	10	00	21	187
30	10	00	22	189
30	10	00	23	205
30	10	00	24	171
30	10	00	25	178
30	10	00	26	200
30	10	00	27	213
30	10	00	28	202
30	10	00	29	205
30	10	00	30	185
30	10	10	31	208
30	10	00	0	181
30	10	00	1	155
30	10	00	2	196
30	10	00	3	180
30	10	00	4	177
30	10	00	5	185
30	10	00	6	222
30	10	00	7	178
30	10	00	8	183
30	10	00	9	163
30	10	00	10	198
30	10	00	11	158
30	10	00	12	166
30	10	00	13	162
30	10	00	14	238
30	10	00	15	130
30	10	00	16	210
30	10	00	17	153
30	10	00	18	168
30	10	00	19	173
30	10	00	20	173
30	10	00	21	187
30	10	00	22	185
30	10	00	23	206
30	10	00	24	169
30	10	00	25	179
30	10	00	26	200
30	10	00	27	209
30	10	00	28	200
30	10	00	29	204
30	10	00	30	184
30	10	10	31	209
30	10	00	0	182
30	10	00	1	155
30	10	00	2	196
30	10	00	3	180
30	10	00	4	173
30	10	00	5	186
30	10	00	6	221
30	10	00	7	177
30	10	00	8	182
30	10	00	9	163
30	10	00	10	201
30	10	00	11	160
30	10	00	12	168
30	10	00	13	165
30	10	00	14	245
30	10	00	15	127
30	10	00	16	208
30	10	00	17	154
30	10	00	18	170
30	10	00	19	177
30	10	00	20	173
30	10	00	21	187
30	10	00	22	185
30	10	00	23	206
30	10	00	24	170
30	10	00	25	178
30	10	00	26	202
30	10	00	27	214
30	10	00	28	200
30	10	00	29	203
30	10	00	30	185
30	10	10	31	206
30	10	00	0	182
30	10	00	1	153
30	10	00	2	194
30	10	00	3	180
30	10	00	4	178
30	10	00	5	183
30	10	00	6	224
30	10	00	7	180
30	10	00	8	184
30	10	00	9	167
30	10	00	10	202
30	10	00	11	164
30	10	00	12	169
30	10	00	13	165
30	10	00	14	243
30	10	00	15	132
30	10	00	16	206
30	10	00	17	151
30	10	00	18	167
30	10	00	19	173
30	10	00	20	173
30	10	00	21	187
30	10	00	22	185
30	10	00	23	208
30	10	00	24	172
30	10	00	25	178
30	10	00	26	201
30	10	00	27	212
30	10	00	28	201
30	10	00	29	205
30	10	00	30	185
30	10	10	31	207
30	10	00	0	180
30	10	00	1	156
30	10	00	2	193
30	10	00	3	177
30	10	00	4	173
30	10	00	5	183
30	10	00	6	219
30	10	00	7	177
30	10	00	8	182
30	10	00	9	162
30	10	00	10	201
30	10	00	11	161
30	10	00	12	164
30	10	00	13	161
30	10	00	14	238
30	10	00	15	129
30	10	00	16	205
30	10	00	17	152
30	10	00	18	167
30	10	00	19	172
30	10	00	20	169
30	10	00	21	182
30	10	00	22	183
30	10	00	23	205
30	10	00	24	172
30	10	00	25	175
30	10	00	26	200
30	10	00	27	208
30	10	00	28	198
30	10	00	29	203
30	10	00	30	182
30	10	10	31	202
30	10	00	0	181
30	10	00	1	154
30	10	00	2	190
30	10	00	3	180
30	10	00	4	173
30	10	00	5	180
30	10	00	6	218
30	10	00	7	177
30	10	00	8	179
30	10	00	9	162
30	10	00	10	198
30	10	00	11	160
30	10	00	12	165
30	10	00	13	162
30	10	00	14	238
30	10	00	15	126
30	10	00	16	208
30	10	00	17	152
30	10	00	18	165
30	10	00	19	173
30	10	00	20	170
30	10	00	21	187
30	10	00	22	185
30	10	00	23	202
30	10	00	24	169
30	10	00	25	177
30	10	00	26	201
30	10	00	27	208
30	10	00	28	202
30	10	00	29	203
30	10	00	30	185
30	10	10	31	203
30	10	00	0	180
30	10	00	1	155
30	10	00	2	194
30	10	00	3	177
30	10	00	4	172
30	10	00	5	182
30	10	00	6	219
30	10	00	7	179
30	10	00	8	180
30	10	00	9	164
30	10	00	10	198
30	10	00	11	161
30	10	00	12	165
30	10	00	13	164
30	10	00	14	240
30	10	00	15	128
30	10	00	16	206
30	10	00	17	152
30	10	00	18	166
30	10	00	19	172
30	10	00	20	170
30	10	00	21	185
30	10	00	22	182
30	10	00	23	208
30	10	00	24	170
30	10	00	25	175
30	10	00	26	200
30	10	00	27	209
30	10	00	28	200
30	10	00	29	202
30	10	00	30	183
30	10	10	31	203
30	10	00	0	178
30	10	00	1	153
30	10	00	2	194
30	10	00	3	174
30	10	00	4	171
30	10	00	5	178
30	10	00	6	217
30	10	00	7	178
30	10	00	8	178
30	10	00	9	164
30	10	00	10	197
30	10	00	11	158
30	10	00	12	163
30	10	00	13	163
30	10	00	14	236
30	10	00	15	128
30	10	00	16	204
30	10	00	17	149
30	10	00	18	164
30	10	00	19	166
30	10	00	20	169
30	10	00	21	183
30	10	00	22	182
30	10	00	23	202
30	10	00	24	169
30	10	00	25	174
30	10	00	26	199
30	10	00	27	208
30	10	00	28	199
30	10	00	29	199
30	10	00	30	181
30	10	10	31	199
30	10	00	0	178
30	10	00	1	153
30	10	00	2	196
30	10	00	3	171
30	10	00	4	172
30	10	00	5	180
30	10	00	6	218
30	10	00	7	178
30	10	00	8	178
30	10	00	9	164
30	10	00	10	197
30	10	00	11	155
30	10	00	12	165
30	10	00	13	160
30	10	00	14	240
30	10	00	15	128
30	10	00	16	203
30	10	00	17	152
30	10	00	18	162
30	10	00	19	171
30	10	00	20	168
30	10	00	21	183
30	10	00	22	184
30	10	00	23	202
30	10	00	24	172
30	10	00	25	173
30	10	00	26	198
30	10	00	27	208
30	10	00	28	201
30	10	00	29	200
30	10	00	30	181
30	10	10	31	202
30	10	00	0	178
30	10	00	1	149
30	10	00	2	192
30	10	00	3	176
30	10	00	4	170
30	10	00	5	177
30	10	00	6	219
30	10	00	7	175
30	10	00	8	178
30	10	00	9	161
30	10	00	10	196
30	10	00	11	158
30	10	00	12	163
30	10	00	13	160
30	10	00	14	239
30	10	00	15	124
30	10	00	16	203
30	10	00	17	149
30	10	00	18	163
30	10	00	19	172
30	10	00	20	170
30	10	00	21	183
30	10	00	22	181
30	10	00	23	200
30	10	00	24	166
30	10	00	25	174
30	10	00	26	199
30	10	00	27	206
30	10	00	28	200
30	10	00	29	197
30	10	00	30	178
30	10	10	31	203
30	10	00	0	179
30	10	00	1	152
30	10	00	2	194
30	10	00	3	176
30	10	00	4	171
30	10	00	5	178
30	10	00	6	218
30	10	00	7	173
30	10	00	8	177
30	10	00	9	161
30	10	00	10	195
30	10	00	11	155
30	10	00	12	164
30	10	00	13	157
30	10	00	14	236
30	10	00	15	124
30	10	00	16	203
30	10	00	17	150
30	10	00	18	165
30	10	00	19	168
30	10	00	20	167
30	10	00	21	186
30	10	00	22	180
30	10	00	23	201
30	10	00	24	165
30	10	00	25	172
30	10	00	26	198
30	10	00	27	206
30	10	00	28	197
30	10	00	29	200
30	10	00	30	179
30	10	10	31	202
30	10	00	0	179
30	10	00	1	152
30	10	00	2	187
30	10	00	3	177
30	10	00	4	168
30	10	00	5	181
30	10	00	6	217
30	10	00	7	176
30	10	00	8	180
30	10	00	9	160
30	10	00	10	196
30	10	00	11	160
30	10	00	12	162
30	10	00	13	158
30	10	00	14	238
30	10	00	15	126
30	10	00	16	204
30	10	00	17	149
30	10	00	18	161
30	10	00	19	170
30	10	00	20	166
30	10	00	21	184
30	10	00	22	181
30	10	00	23	205
30	10	00	24	168
30	10	00	25	173
30	10	00	26	197
30	10	00	27	208
30	10	00	28	198
30	10	00	29	197
30	10	00	30	182
30	10	10	31	204
30	10	00	0	178
30	10	00	1	149
30	10	00	2	192
30	10	00	3	174
30	10	00	4	170
30	10	00	5	178
30	10	00	6	214
30	10	00	7	172
30	10	00	8	177
30	10	00	9	157
30	10	00	10	193
30	10	00	11	157
30	10	00	12	162
30	10	00	13	161
30	10	00	14	236
30	10	00	15	125
30	10	00	16	203
30	10	00	17	148
30	10	00	18	163
30	10	00	19	166
30	10	00	20	168
30	10	00	21	181
30	10	00	22	181
30	10	00	23	202
30	10	00	24	166
30	10	00	25	172
30	10	00	26	195
30	10	00	27	206
30	10	00	28	196
30	10	00	29	199
30	10	00	30	181
30	10	10	31	201
30	10	00	0	177
30	10	00	1	149
30	10	00	2	191
30	10	00	3	175
30	10	00	4	170
30	10	00	5	178
30	10	00	6	215
30	10	00	7	172
30	10	00	8	173
30	10	00	9	160
30	10	00	10	194
30	10	00	11	154
30	10	00	12	161
30	10	00	13	157
30	10	00	14	237
30	10	00	15	122
30	10	00	16	200
30	10	00	17	146
30	10	00	18	164
30	10	00	19	168
30	10	00	20	169
30	10	00	21	181
30	10	00	22	180
30	10	00	23	203
30	10	00	24	170
30	10	00	25	171
30	10	00	26	198
30	10	00	27	205
30	10	00	28	196
30	10	00	29	198
30	10	00	30	181
30	10	10	31	202
30	10	00	0	176
30	10	00	1	149
30	10	00	2	189
30	10	00	3	174
30	10	00	4	168
30	10	00	5	176
30	10	00	6	214
30	10	00	7	173
30	10	00	8	178
30	10	00	9	155
30	10	00	10	194
30	10	00	11	154
30	10	00	12	160
30	10	00	13	160
30	10	00	14	236
30	10	00	15	124
30	10	00	16	201
30	10	00	17	146
30	10	00	18	162
30	10	00	19	168
30	10	00	20	163
30	10	00	21	181
30	10	00	22	178
30	10	00	23	201
30	10	00	24	168
30	10	00	25	170
30	10	00	26	194
30	10	00	27	206
30	10	00	28	194
30	10	00	29	196
30	10	00	30	179
30	10	10	31	199
30	10	00	0	176
30	10	00	1	148
30	10	00	2	186
30	10	00	3	172
30	10	00	4	168
30	10	00	5	177
30	10	00	6	214
30	10	00	7	172
30	10	00	8	174
30	10	00	9	160
30	10	00	10	192
30	10	00	11	155
30	10	00	12	160
30	10	00	13	160
30	10	00	14	236
30	10	00	15	124
30	10	00	16	200
30	10	00	17	147
30	10	00	18	157
30	10	00	19	168
30	10	00	20	166
30	10	00	21	182
30	10	00	22	181
30	10	00	23	202
30	10	00	24	166
30	10	00	25	170
30	10	00	26	194
30	10	00	27	205
30	10	00	28	196
30	10	00	29	200
30	10	00	30	180
30	10	10	31	199
30	10	00	0	176
30	10	00	1	148
30	10	00	2	186
30	10	00	3	173
30	10	00	4	166
30	10	00	5	176
30	10	00	6	213
30	10	00	7	172
30	10	00	8	168
30	10	00	9	157
30	10	00	10	192
30	10	00	11	151
30	10	00	12	157
30	10	00	13	154
30	10	00	14	235
30	10	00	15	119
30	10	00	16	200
30	10	00	17	149
30	10	00	18	158
30	10	00	19	165
30	10	00	20	166
30	10	00	21	182
30	10	00	22	179
30	10	00	23	199
30	10	00	24	164
30	10	00	25	172
30	10	00	26	196
30	10	00	27	202
30	10	00	28	196
30	10	00	29	196
30	10	00	30	180
30	10	10	31	197
30	10	00	0	176
30	10	00	1	150
30	10	00	2	186
30	10	00	3	171
30	10	00	4	165
30	10	00	5	178
30	10	00	6	212
30	10	00	7	169
30	10	00	8	173
30	10	00	9	154
30	10	00	10	193
30	10	00	11	154
30	10	00	12	160
30	10	00	13	159
30	10	00	14	236
30	10	00	15	122
30	10	00	16	201
30	10	00	17	145
30	10	00	18	160
30	10	00	19	166
30	10	00	20	166
30	10	00	21	181
30	10	00	22	178
30	10	00	23	200
30	10	00	24	164
30	10	00	25	169
30	10	00	26	195
30	10	00	27	202
30	10	00	28	196
30	10	00	29	194
30	10	00	30	180
30	10	10	31	199
30	10	00	0	173
30	10	00	1	148
