ch	pt	tc	mean	std	median	outliers	mean_w/o_out	std_w/o_out	samples
 0	 0	  0	 142.75	 1.579	142.5	  0	 142.75	 1.579	 100
 0	 0	  1	 157.92	 1.555	158.0	  0	 157.92	 1.555	 100
 0	 0	  2	 203.29	 1.844	203.0	  3	 203.14	 1.671	 100
 0	 0	  3	 285.09	 1.815	285.0	  0	 285.09	 1.815	 100
 0	 0	  4	 358.68	 1.964	359.0	  2	 358.67	 1.849	 100
 0	 0	  5	 427.99	 2.038	428.0	  5	 427.81	 1.665	 100
 0	 0	  6	 485.75	 1.777	485.0	  2	 485.66	 1.686	 100
 0	 0	  7	 532.88	 1.635	533.0	  0	 532.88	 1.635	 100
 0	 0	  8	 571.67	 2.202	571.0	  8	 571.23	 1.665	 100
 0	 0	  9	 602.91	 1.891	603.0	  1	 602.96	 1.835	 100
 0	 0	 10	 626.47	 1.839	626.0	  2	 626.48	 1.712	 100
 0	 0	 11	 642.98	 1.608	643.0	  0	 642.98	 1.608	 100
 0	 0	 12	 653.91	 1.913	654.0	  2	 654.01	 1.796	 100
 0	 0	 13	 658.90	 1.823	659.0	  2	 659.01	 1.665	 100
 0	 0	 14	 659.06	 1.890	659.0	  1	 659.00	 1.801	 100
 0	 0	 15	 655.54	 1.883	656.0	  0	 655.54	 1.883	 100
 0	 0	 16	 648.39	 1.734	648.0	  0	 648.39	 1.734	 100
 0	 0	 17	 637.18	 1.914	637.0	  0	 637.18	 1.914	 100
 0	 0	 18	 623.87	 1.851	624.0	  1	 623.82	 1.786	 100
 0	 0	 19	 610.09	 1.558	610.0	  1	 610.14	 1.478	 100
 0	 0	 20	 594.23	 1.757	594.0	  1	 594.28	 1.685	 100
 0	 0	 21	 577.34	 1.725	577.0	  0	 577.34	 1.725	 100
 0	 0	 22	 557.99	 1.636	558.0	  0	 557.99	 1.636	 100
 0	 0	 23	 539.50	 1.910	539.0	  3	 539.44	 1.677	 100
 0	 0	 24	 520.53	 1.534	521.0	  0	 520.53	 1.534	 100
 0	 0	 25	 501.13	 1.662	501.0	  0	 501.13	 1.662	 100
 0	 0	 26	 481.64	 1.382	482.0	  0	 481.64	 1.382	 100
 0	 0	 27	 462.27	 1.620	462.0	  0	 462.27	 1.620	 100
 0	 0	 28	 442.99	 1.480	443.0	  0	 442.99	 1.480	 100
 0	 0	 29	 423.99	 1.554	424.0	  0	 423.99	 1.554	 100
 0	 0	 30	 406.27	 1.620	406.0	  0	 406.27	 1.620	 100
 0	 0	 31	 389.07	 1.233	389.0	  0	 389.07	 1.233	 100
 0	 0	 32	 372.75	 1.336	373.0	  0	 372.75	 1.336	 100
 0	 0	 33	 356.23	 1.347	356.0	  0	 356.23	 1.347	 100
 0	 0	 34	 341.54	 1.352	342.0	  0	 341.54	 1.352	 100
 0	 0	 35	 327.75	 1.366	328.0	  0	 327.75	 1.366	 100
 0	 0	 36	 313.32	 1.317	313.0	  0	 313.32	 1.317	 100
 0	 0	 37	 300.65	 1.417	301.0	  0	 300.65	 1.417	 100
 0	 0	 38	 289.00	 1.385	289.0	  0	 289.00	 1.385	 100
 0	 0	 39	 278.47	 1.235	278.0	  0	 278.47	 1.235	 100
 0	 0	 40	 268.21	 1.192	268.0	  0	 268.21	 1.192	 100
 0	 0	 41	 259.34	 1.148	260.0	  0	 259.34	 1.148	 100
 0	 0	 42	 250.66	 0.924	250.0	  0	 250.66	 0.924	 100
 0	 0	 43	 242.26	 1.203	242.0	  0	 242.26	 1.203	 100
 0	 0	 44	 234.62	 1.237	235.0	  1	 234.67	 1.152	 100
 0	 0	 45	 227.54	 1.201	228.0	  0	 227.54	 1.201	 100
 0	 0	 46	 220.62	 1.237	221.0	  0	 220.62	 1.237	 100
 0	 0	 47	 214.56	 1.242	214.0	  0	 214.56	 1.242	 100
 0	 0	 48	 209.10	 1.185	209.0	  0	 209.10	 1.185	 100
 0	 0	 49	 203.81	 1.161	204.0	  0	 203.81	 1.161	 100
 0	 0	 50	 198.98	 1.239	199.0	  0	 198.98	 1.239	 100
 0	 0	 51	 195.09	 1.288	195.0	  1	 195.14	 1.187	 100
 0	 0	 52	 189.63	 1.284	189.0	  1	 189.59	 1.212	 100
 0	 0	 53	 185.90	 1.087	186.0	  0	 185.90	 1.087	 100
 0	 0	 54	 182.05	 1.104	182.0	  0	 182.05	 1.104	 100
 0	 0	 55	 178.92	 1.245	179.0	  0	 178.92	 1.245	 100
 0	 0	 56	 175.96	 1.154	176.0	  0	 175.96	 1.154	 100
 0	 0	 57	 172.92	 0.918	173.0	  0	 172.92	 0.918	 100
 0	 0	 58	 170.34	 1.056	170.0	  0	 170.34	 1.056	 100
 0	 0	 59	 168.15	 0.947	168.0	  0	 168.15	 0.947	 100
